Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 01:04:34.996000,55,0 days 00:01:17.364000,17,4,,,0 days 00:00:26.453000,0 days 00:00:17.106000,0 days 00:00:33.805000,0 days 01:03:44.085000,0 days 01:04:01.191000,0 days 01:04:34.996000,288.0,327.0,309.0,326.0,True
0 days 01:09:28.582000,55,,18,5,,0 days 01:06:08.184000,0 days 00:00:33.118000,0 days 00:00:20.849000,,0 days 01:05:08.129000,0 days 01:05:28.994000,,242.0,265.0,,284.0,False
0 days 01:11:26.417000,55,0 days 00:01:57.835000,19,5,0 days 01:09:42.482000,,0 days 00:00:57.134000,0 days 00:00:20.052000,0 days 00:00:40.649000,0 days 01:10:25.716000,0 days 01:10:45.768000,0 days 01:11:26.417000,237.0,292.0,311.0,78.0,False
0 days 01:12:42.479000,55,0 days 00:01:16.062000,20,5,,,0 days 00:00:26.355000,0 days 00:00:17,0 days 00:00:32.707000,0 days 01:11:52.772000,0 days 01:12:09.772000,0 days 01:12:42.479000,289.0,329.0,309.0,327.0,True
0 days 00:15:39.329000,23,0 days 00:01:51.299000,1,0,0 days 00:13:58.321000,,0 days 00:00:51.597000,0 days 00:00:18.751000,0 days 00:00:40.951000,0 days 00:14:39.717000,0 days 00:14:58.492000,0 days 00:15:39.362000,274.0,301.0,306.0,173.0,False
0 days 00:16:56.292000,23,0 days 00:01:16.963000,2,0,,,0 days 00:00:26.756000,0 days 00:00:17.281000,0 days 00:00:32.926000,0 days 00:16:06.085000,0 days 00:16:23.366000,0 days 00:16:56.292000,289.0,327.0,309.0,323.0,True
0 days 00:18:40.912000,23,0 days 00:01:44.620000,3,0,,,0 days 00:00:41.026000,0 days 00:00:22.838000,0 days 00:00:40.756000,0 days 00:17:37.318000,0 days 00:18:00.156000,0 days 00:18:40.912000,220.0,251.0,285.0,242.0,False
0 days 00:20:25.330000,23,0 days 00:01:44.418000,4,0,,,0 days 00:00:39.183000,0 days 00:00:22.548000,0 days 00:00:42.687000,0 days 00:19:20.095000,0 days 00:19:42.643000,0 days 00:20:25.330000,196.0,269.0,308.0,221.0,False
0 days 00:21:41.893000,23,0 days 00:01:16.563000,5,0,,,0 days 00:00:26.580000,0 days 00:00:17.141000,0 days 00:00:32.842000,0 days 00:20:51.910000,0 days 00:21:09.051000,0 days 00:21:41.893000,290.0,329.0,311.0,325.0,True
0 days 00:27:09.614000,23,,6,1,,0 days 00:23:17.185000,0 days 00:00:31.479000,0 days 00:00:23.928000,,0 days 00:22:13.475000,0 days 00:22:37.363000,,253.0,274.0,,295.0,False
0 days 00:29:21.167000,23,0 days 00:02:11.553000,7,1,0 days 00:27:21.703000,,0 days 00:01:07.382000,0 days 00:00:19.664000,0 days 00:00:44.507000,0 days 00:28:16.996000,0 days 00:28:36.660000,0 days 00:29:21.167000,171.0,309.0,309.0,124.0,False
0 days 00:30:37.412000,23,0 days 00:01:16.245000,8,1,,,0 days 00:00:26.378000,0 days 00:00:17.153000,0 days 00:00:32.714000,0 days 00:29:47.545000,0 days 00:30:04.698000,0 days 00:30:37.412000,292.0,327.0,309.0,325.0,True
0 days 00:38:39.764000,23,,9,2,,0 days 00:32:17.459000,0 days 00:00:38.102000,0 days 00:00:20.611000,,0 days 00:31:15.588000,0 days 00:31:36.121000,,252.0,263.0,,236.0,False
0 days 00:40:28.129000,23,0 days 00:01:48.365000,10,2,0 days 00:38:45.011000,,0 days 00:00:47.593000,0 days 00:00:18.895000,0 days 00:00:41.877000,0 days 00:39:27.357000,0 days 00:39:46.252000,0 days 00:40:28.129000,270.0,316.0,309.0,159.0,False
