LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
3.0,6,,0,,,,,0 days 00:18:51.181000,,,,
,6,,1,0.0,SOFT,True,0,0 days 00:18:51.931000,0.0,,0.0,
,23,,0,5.0,,,,0 days 00:18:56.931000,,,,
,14,,1,0.0,SOFT,True,0,0 days 00:18:56.931000,0.0,,0.0,
2.0,23,0 days 00:01:46.860000,0,,,,,0 days 00:18:57.118000,,,,
3.0,22,,0,,,,,0 days 00:19:05.400000,,,,
,22,,1,3.0,SOFT,False,0,0 days 00:19:06.931000,0.0,,3.0,
,87,,0,3.0,,,,0 days 00:19:06.931000,,,,
,5,,1,0.0,SOFT,True,0,0 days 00:19:06.931000,0.0,,0.0,
3.0,7,,0,,,,,0 days 00:19:07.665000,,,,
,55,,1,0.0,SOFT,True,0,0 days 00:19:11.978000,0.0,,0.0,
,7,,1,0.0,SOFT,True,0,0 days 00:19:11.978000,0.0,,0.0,
,31,,0,3.0,,,,0 days 00:19:26.947000,,,,
3.0,23,,0,,,,,0 days 00:19:30.790000,,,,
,23,,1,0.0,SOFT,True,0,0 days 00:19:31.947000,0.0,,0.0,
,12,,0,5.0,,,,0 days 00:19:31.947000,,,,
,10,,0,6.0,,,,0 days 00:19:31.947000,,,,
3.0,12,0 days 00:01:32.250000,0,,,,,0 days 00:19:32.165000,1.0,,,
,63,,0,5.0,,,,0 days 00:19:41.951000,,,,
,1,,0,3.0,,,,0 days 00:19:41.951000,,,,
3.0,63,0 days 00:01:32.082000,0,,,,,0 days 00:19:42.061000,1.0,,,
3.0,30,,0,,,,,0 days 00:19:56.592000,,,,
,30,,1,0.0,UNKNOWN,False,1,0 days 00:19:56.951000,0.0,,0.0,
,4,,0,7.0,,,,0 days 00:20:01.954000,,,,
,30,,1,,SOFT,True,0,0 days 00:20:01.954000,,,,
,10,,1,0.0,SOFT,True,0,0 days 00:20:06.954000,0.0,,0.0,
,16,,0,6.0,,,,0 days 00:20:11.954000,,,,
,27,,1,0.0,SOFT,True,0,0 days 00:20:11.954000,0.0,,0.0,
,44,,0,6.0,,,,0 days 00:20:16.970000,,,,
,81,,0,8.0,,,,0 days 00:20:31.954000,,,,
,18,,1,1.0,,,,0 days 00:20:31.954000,,,,
,6,,1,1.0,,,,0 days 00:20:46.955000,,,,
,31,,1,0.0,SOFT,True,0,0 days 00:20:51.967000,0.0,,0.0,
,14,,1,1.0,,,,0 days 00:20:56.969000,,,,
,87,,1,0.0,SOFT,True,0,0 days 00:21:01.974000,0.0,,0.0,
,5,,1,1.0,,,,0 days 00:21:01.974000,,,,
,22,,1,4.0,,,,0 days 00:21:11.971000,,,,
,1,,0,4.0,,,,0 days 00:21:11.971000,,,,
,81,,0,,,,,0 days 00:21:12.267000,1.0,,,
3.0,1,0 days 00:01:31.424000,0,,,,,0 days 00:21:12.267000,3.0,,,
,7,,1,1.0,,,,0 days 00:21:17.006000,,,,
,55,,1,1.0,,,,0 days 00:21:26.967000,,,,
,63,,0,6.0,,,,0 days 00:21:31.968000,,,,
,12,,0,6.0,,,,0 days 00:21:31.968000,,,,
,23,,1,1.0,,,,0 days 00:21:36.968000,,,,
,30,,1,1.0,,,,0 days 00:21:46.975000,,,,
,44,,1,0.0,SOFT,True,0,0 days 00:21:51.976000,0.0,,0.0,
,16,,1,0.0,UNKNOWN,False,1,0 days 00:21:56.982000,0.0,,0.0,
,16,,1,,SOFT,True,0,0 days 00:22:01.969000,,,,
,18,,1,2.0,,,,0 days 00:22:01.969000,,,,
,18,,0,,,,,0 days 00:22:02.422000,0.0,,,
6.0,18,0 days 00:01:32.165000,1,,,,,0 days 00:22:02.422000,1.0,,,
,63,,1,0.0,UNKNOWN,False,1,0 days 00:22:06.985000,0.0,,0.0,
,10,,1,1.0,,,,0 days 00:22:06.985000,,,,
,63,,1,,SOFT,True,0,0 days 00:22:11.985000,,,,
,27,,1,1.0,,,,0 days 00:22:11.985000,,,,
,6,,1,2.0,,,,0 days 00:22:16.985000,,,,
5.0,6,0 days 00:01:31.824000,1,,,,,0 days 00:22:17.438000,1.0,,,
,81,,1,0.0,SOFT,True,0,0 days 00:22:22.001000,0.0,,0.0,
,4,,1,0.0,SOFT,True,0,0 days 00:22:32.004000,0.0,,0.0,
,14,,1,2.0,,,,0 days 00:22:32.004000,,,,
,12,,1,0.0,SOFT,True,0,0 days 00:22:32.004000,0.0,,0.0,
,14,,0,,,,,0 days 00:22:32.020000,0.0,,,
6.0,14,0 days 00:01:32.058000,1,,,,,0 days 00:22:32.020000,1.0,,,
,5,,1,2.0,,,,0 days 00:22:37.004000,,,,
,5,,0,,,,,0 days 00:22:37.411000,0.0,,,
6.0,5,0 days 00:01:32.141000,1,,,,,0 days 00:22:37.411000,1.0,,,
,22,,1,5.0,,,,0 days 00:22:42.004000,,,,
5.0,22,0 days 00:01:31.698000,1,,,,,0 days 00:22:42.457000,1.0,,,
,31,,1,1.0,,,,0 days 00:22:51.989000,,,,
,7,,1,2.0,,,,0 days 00:22:51.989000,,,,
5.0,7,0 days 00:01:32.511000,1,,,,,0 days 00:22:52.052000,1.0,,,
,55,,1,2.0,,,,0 days 00:22:57.001000,,,,
,55,,0,,,,,0 days 00:22:57.001000,0.0,,,
6.0,55,0 days 00:01:32.241000,1,,,,,0 days 00:22:57.001000,1.0,,,
,87,,1,1.0,,,,0 days 00:23:02.001000,,,,
,23,,1,2.0,,,,0 days 00:23:07.001000,,,,
,1,,0,5.0,,,,0 days 00:23:07.001000,,,,
5.0,23,0 days 00:01:31.970000,1,,,,,0 days 00:23:07.439000,1.0,,,
,30,,1,2.0,,,,0 days 00:23:22.001000,,,,
5.0,30,0 days 00:01:32.492000,1,,,,,0 days 00:23:22.142000,1.0,,,
,10,,1,2.0,,,,0 days 00:23:37.002000,,,,
,10,,0,,,,,0 days 00:23:37.064000,0.0,,,
6.0,10,0 days 00:01:32.214000,1,,,,,0 days 00:23:37.064000,1.0,,,
,27,,1,2.0,,,,0 days 00:23:47.002000,,,,
,27,,0,,,,,0 days 00:23:47.111000,0.0,,,
