LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
3.0,30,0 days 00:02:10.899000,0,,,,,0 days 00:20:16.224000,1.0,,,
,23,,0,2.0,,,,0 days 00:20:25.936000,,,,
3.0,23,0 days 00:02:09.780000,0,,,,,0 days 00:20:26.035000,1.0,,,
,87,,0,3.0,,,,0 days 00:20:30.934000,,,,
,55,,0,3.0,,,,0 days 00:20:45.938000,,,,
,31,,0,3.0,,,,0 days 00:20:50.940000,,,,
,22,,0,3.0,,,,0 days 00:21:00.940000,,,,
,6,,0,3.0,,,,0 days 00:21:10.940000,,,,
,10,,0,3.0,,,,0 days 00:21:20.945000,,,,
4.0,12,0 days 00:01:36.268000,0,,,,,0 days 00:21:22.874000,,,,
,12,,0,3.0,,,,0 days 00:21:25.938000,,,,
,7,,0,3.0,,,,0 days 00:21:35.945000,,,,
,44,,0,3.0,,,,0 days 00:21:40.946000,,,,
,18,,0,2.0,,,,0 days 00:21:45.945000,,,,
3.0,18,0 days 00:01:36.451000,0,,,,,0 days 00:21:46.172000,1.0,,,
4.0,30,0 days 00:01:36.829000,0,,,,,0 days 00:21:48.319000,,,,
,1,,0,3.0,,,,0 days 00:21:50.955000,,,,
,30,,0,3.0,,,,0 days 00:21:50.955000,,,,
,16,,0,3.0,,,,0 days 00:21:55.944000,,,,
4.0,23,0 days 00:01:35.830000,0,,,,,0 days 00:21:58.876000,,,,
,5,,0,3.0,,,,0 days 00:22:00.945000,,,,
,23,,0,3.0,,,,0 days 00:22:00.945000,,,,
,81,,0,3.0,,,,0 days 00:22:05.945000,,,,
5.0,87,0 days 00:01:36.619000,0,,,,,0 days 00:22:07.542000,,,,
,4,,0,3.0,,,,0 days 00:22:10.945000,,,,
,87,,0,4.0,,,,0 days 00:22:10.945000,,,,
,27,,0,3.0,,,,0 days 00:22:15.945000,,,,
5.0,55,0 days 00:01:34.504000,0,,,,,0 days 00:22:18.075000,3.0,,,
,63,,0,,,,,0 days 00:22:18.075000,1.0,,,
,55,,0,4.0,,,,0 days 00:22:20.947000,,,,
,63,,0,3.0,,,,0 days 00:22:25.948000,,,,
5.0,22,0 days 00:01:34.935000,0,,,,,0 days 00:22:33.765000,,,,
,14,,0,3.0,,,,0 days 00:22:35.945000,,,,
,22,,0,4.0,,,,0 days 00:22:35.945000,,,,
5.0,6,0 days 00:01:35.232000,0,,,,,0 days 00:22:41.546000,,,,
,6,,0,4.0,,,,0 days 00:22:45.945000,,,,
,31,,0,4.0,,,,0 days 00:22:50.955000,,,,
5.0,10,0 days 00:01:34.317000,0,,,,,0 days 00:22:53.495000,3.0,,,
,55,,0,,,,,0 days 00:22:53.495000,1.0,,,
,10,,0,4.0,,,,0 days 00:22:55.945000,,,,
5.0,12,0 days 00:01:35.572000,0,,,,,0 days 00:22:58.371000,,,,
,12,,0,4.0,,,,0 days 00:23:00.949000,,,,
5.0,7,0 days 00:01:34.815000,0,,,,,0 days 00:23:06.273000,,,,
,7,,0,4.0,,,,0 days 00:23:10.952000,,,,
4.0,44,0 days 00:01:34.289000,0,,,,,0 days 00:23:13.804000,,,,
,10,,0,,,,,0 days 00:23:13.850000,1.0,,,
5.0,44,,0,,,,,0 days 00:23:13.850000,3.0,,,
,44,,0,4.0,,,,0 days 00:23:15.945000,,,,
5.0,1,0 days 00:01:33.949000,0,,,,,0 days 00:23:22.961000,3.0,,,
,44,,0,,,,,0 days 00:23:22.961000,1.0,,,
,1,,0,4.0,,,,0 days 00:23:26.201000,,,,
5.0,16,0 days 00:01:34.034000,0,,,,,0 days 00:23:29.292000,,,,
,16,,0,4.0,,,,0 days 00:23:30.946000,,,,
5.0,5,0 days 00:01:37.163000,0,,,,,0 days 00:23:35.465000,,,,
,5,,0,4.0,,,,0 days 00:23:35.946000,,,,
,1,,0,,,,,0 days 00:23:42.802000,1.0,,,
5.0,4,0 days 00:01:33.362000,0,,,,,0 days 00:23:42.802000,3.0,,,
,4,,0,4.0,,,,0 days 00:23:45.949000,,,,
5.0,27,0 days 00:01:35.401000,0,,,,,0 days 00:23:50.606000,,,,
,27,,0,4.0,,,,0 days 00:23:50.946000,,,,
5.0,63,0 days 00:01:33.442000,0,,,,,0 days 00:23:58.066000,,,,
,63,,0,4.0,,,,0 days 00:24:00.960000,,,,
,81,,0,4.0,,,,0 days 00:24:05.946000,,,,
5.0,14,0 days 00:01:34.432000,0,,,,,0 days 00:24:06.383000,,,,
,14,,0,4.0,,,,0 days 00:24:10.957000,,,,
,18,,0,3.0,,,,0 days 00:24:10.957000,,,,
,30,,0,4.0,,,,0 days 00:24:15.962000,,,,
,23,,0,4.0,,,,0 days 00:24:20.953000,,,,
6.0,31,0 days 00:01:35.550000,0,,,,,0 days 00:24:26.292000,,,,
,31,,0,5.0,,,,0 days 00:24:30.968000,,,,
,87,,0,5.0,,,,0 days 00:24:30.968000,,,,
,55,,0,5.0,,,,0 days 00:24:45.972000,,,,
,22,,0,5.0,,,,0 days 00:25:05.968000,,,,
,6,,0,5.0,,,,0 days 00:25:15.964000,,,,
,12,,0,5.0,,,,0 days 00:25:25.968000,,,,
,4,,0,,,,,0 days 00:25:36.593000,1.0,,,
6.0,81,0 days 00:01:33.336000,0,,,,,0 days 00:25:36.593000,3.0,,,
,27,,0,5.0,,,,0 days 00:25:40.972000,,,,
,81,,0,5.0,,,,0 days 00:25:40.972000,,,,
5.0,18,0 days 00:01:35.286000,0,,,,,0 days 00:25:44.752000,,,,
,1,,0,5.0,,,,0 days 00:25:45.972000,,,,
,18,,0,4.0,,,,0 days 00:25:45.972000,,,,
,10,,0,5.0,,,,0 days 00:25:50.973000,,,,
6.0,23,0 days 00:01:34.603000,0,,,,,0 days 00:25:55.448000,,,,
,7,,0,5.0,,,,0 days 00:25:55.973000,,,,
,23,,0,5.0,,,,0 days 00:25:55.973000,,,,
7.0,87,0 days 00:01:35.374000,0,,,,,0 days 00:26:03.234000,,,,
,5,,0,5.0,,,,0 days 00:26:05.974000,,,,
,87,,0,6.0,,,,0 days 00:26:05.974000,,,,
,44,,0,5.0,,,,0 days 00:26:15.974000,,,,
,14,,0,5.0,,,,0 days 00:26:20.973000,,,,
,16,,0,5.0,,,,0 days 00:26:20.973000,,,,
,4,,0,5.0,,,,0 days 00:26:25.961000,,,,
,30,,0,5.0,,,,0 days 00:26:30.973000,,,,
7.0,22,0 days 00:01:34.343000,0,,,,,0 days 00:26:37.177000,,,,
,22,,0,6.0,,,,0 days 00:26:40.977000,,,,
,63,,0,5.0,,,,0 days 00:26:40.977000,,,,
7.0,6,0 days 00:01:34.715000,0,,,,,0 days 00:26:48.393000,,,,
,6,,0,6.0,,,,0 days 00:26:50.973000,,,,
,55,,0,6.0,,,,0 days 00:26:50.973000,,,,
7.0,12,0 days 00:01:34.193000,0,,,,,0 days 00:26:56.591000,,,,
,12,,0,6.0,,,,0 days 00:27:00.980000,,,,
,31,,0,6.0,,,,0 days 00:27:10.973000,,,,
,14,,1,5.0,MEDIUM,False,1,0 days 00:27:15.974000,0.0,,5.0,
7.0,10,0 days 00:01:33.865000,0,,,,,0 days 00:27:21.508000,,,,
,10,,0,6.0,,,,0 days 00:27:25.970000,,,,
7.0,7,0 days 00:01:34.488000,0,,,,,0 days 00:27:28.051000,,,,
,7,,0,6.0,,,,0 days 00:27:30.972000,,,,
7.0,44,0 days 00:01:33.224000,0,,,,,0 days 00:27:45.858000,3.0,,,
,81,,0,,,,,0 days 00:27:45.858000,1.0,,,
,44,,0,6.0,,,,0 days 00:27:45.988000,,,,
7.0,16,0 days 00:01:33.823000,0,,,,,0 days 00:27:50.867000,,,,
,5,,0,6.0,,,,0 days 00:27:50.987000,,,,
,16,,0,6.0,,,,0 days 00:27:50.987000,,,,
,1,,0,6.0,,,,0 days 00:28:00.974000,,,,
7.0,30,0 days 00:01:35.834000,0,,,,,0 days 00:28:06.681000,,,,
,18,,0,5.0,,,,0 days 00:28:10.988000,,,,
,30,,0,6.0,,,,0 days 00:28:10.988000,,,,
,63,,0,6.0,,,,0 days 00:28:10.988000,,,,
,81,,0,6.0,,,,0 days 00:28:10.988000,,,,
,44,,0,,,,,0 days 00:28:11.624000,1.0,,,
7.0,63,0 days 00:01:33.017000,0,,,,,0 days 00:28:11.624000,3.0,,,
,23,,0,6.0,,,,0 days 00:28:20.987000,,,,
,4,,0,6.0,,,,0 days 00:28:25.987000,,,,
,55,,0,7.0,,,,0 days 00:28:25.987000,,,,
,87,,0,7.0,,,,0 days 00:28:30.989000,,,,
8.0,31,0 days 00:01:34.860000,0,,,,,0 days 00:28:44.221000,,,,
,31,,0,7.0,,,,0 days 00:28:45.989000,,,,
