Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:04.374000,1,1,,
0 days 00:15:23.840000,1,2,,
0 days 00:15:33,1,3,,
0 days 00:15:38.650000,1,4,,
0 days 00:15:41.561000,1,5,,
0 days 00:15:41.966000,1,6,,
0 days 00:15:45.352000,1,7,,
0 days 00:15:48.690000,1,8,,
0 days 00:15:53.939000,1,9,,
0 days 00:19:13.852000,1,2,,
0 days 00:19:18.497000,1,3,,
0 days 00:19:23.424000,1,4,,
0 days 00:19:30.416000,1,5,,
0 days 00:19:56.678000,1,6,,
0 days 00:22:18.928000,1,7,,
0 days 00:22:32.598000,1,8,,
0 days 00:22:53.196000,1,2,,
0 days 00:23:01.280000,1,3,,
0 days 00:23:14.796000,1,4,,
0 days 00:23:39.226000,1,5,,
0 days 00:24:31.187000,1,6,,
0 days 00:25:11.999000,1,7,,
0 days 00:25:45.182000,1,8,,
0 days 00:29:42.762000,1,9,,
0 days 00:29:47.747000,1,10,,
0 days 00:30:39.455000,1,11,,
0 days 00:39:09.276000,1,12,,
0 days 00:40:32.963000,1,13,,
0 days 00:40:44.233000,1,14,,
0 days 00:41:31.789000,1,15,,
0 days 00:46:16.205000,1,10,,
0 days 00:47:05.926000,1,11,,
0 days 00:47:37.394000,1,12,,
0 days 00:52:06.515000,1,13,,
0 days 00:52:11.757000,1,7,,
0 days 00:00:04.374000,4,2,,
0 days 00:15:23.840000,4,3,,
0 days 00:15:33,4,4,,
0 days 00:15:38.650000,4,5,,
0 days 00:15:41.561000,4,4,,
0 days 00:18:52.392000,4,5,,
0 days 00:18:57.839000,4,6,,
0 days 00:19:05.781000,4,7,,
0 days 00:19:13.852000,4,8,,
0 days 00:19:18.497000,4,9,,
0 days 00:19:23.424000,4,1,,
0 days 00:23:01.280000,4,2,,
0 days 00:24:31.187000,4,3,,
0 days 00:25:11.999000,4,4,,
0 days 00:25:45.182000,4,5,,
0 days 00:26:53.832000,4,3,,
0 days 00:29:47.747000,4,4,,
0 days 00:32:49.273000,4,5,,
0 days 00:39:09.276000,4,6,,
0 days 00:40:44.233000,4,7,,
0 days 00:40:52.354000,4,8,,
0 days 00:43:30.594000,4,9,,
0 days 00:43:40.509000,4,1,,
0 days 00:49:29.511000,4,2,,
0 days 00:50:42.270000,4,3,,
0 days 00:00:04.374000,5,3,,
0 days 00:15:23.840000,5,1,,
0 days 00:18:30.738000,5,2,,
0 days 00:18:44.269000,5,3,,
0 days 00:18:52.392000,5,4,,
0 days 00:18:57.839000,5,5,,
0 days 00:19:05.781000,5,6,,
0 days 00:19:13.852000,5,7,,
0 days 00:19:18.497000,5,8,,
0 days 00:19:23.424000,5,9,,
0 days 00:19:30.416000,5,10,,
0 days 00:19:37.011000,5,11,,
0 days 00:19:43.366000,5,12,,
0 days 00:19:48.057000,5,13,,
0 days 00:19:56.678000,5,14,,
0 days 00:20:06.670000,5,15,,
0 days 00:20:31.672000,5,16,,
0 days 00:21:45.893000,5,17,,
0 days 00:22:09.140000,5,18,,
0 days 00:22:13.838000,5,16,,
0 days 00:22:24.597000,5,17,,
0 days 00:25:11.999000,5,18,,
0 days 00:25:59.457000,5,19,,
0 days 00:26:02.582000,5,15,,
0 days 00:27:12.378000,5,16,,
0 days 00:31:18.180000,5,17,,
0 days 00:38:39.688000,5,18,,
0 days 00:42:03.956000,5,16,,
0 days 00:44:27.548000,5,17,,
0 days 00:47:00.406000,5,18,,
0 days 00:47:59.425000,5,17,,
0 days 00:50:08.311000,5,18,,
0 days 00:00:04.374000,6,4,,
0 days 00:15:33,6,5,,
0 days 00:15:38.650000,6,3,,
0 days 00:18:44.269000,6,1,,
0 days 00:18:52.392000,6,2,,
0 days 00:18:57.839000,6,3,,
0 days 00:19:13.852000,6,4,,
0 days 00:19:18.497000,6,5,,
0 days 00:19:23.424000,6,6,,
0 days 00:19:30.416000,6,7,,
0 days 00:19:48.057000,6,8,,
0 days 00:19:56.678000,6,9,,
0 days 00:22:32.598000,6,10,,
0 days 00:23:35.614000,6,11,,
0 days 00:24:17.005000,6,9,,
0 days 00:25:11.999000,6,10,,
0 days 00:25:45.182000,6,11,,
0 days 00:27:12.378000,6,12,,
0 days 00:29:42.762000,6,8,,
0 days 00:29:47.747000,6,9,,
0 days 00:39:09.276000,6,10,,
0 days 00:40:32.963000,6,11,,
0 days 00:40:44.233000,6,12,,
0 days 00:41:31.789000,6,13,,
0 days 00:46:16.205000,6,14,,
0 days 00:47:00.406000,6,15,,
0 days 00:47:05.926000,6,5,,
0 days 00:48:44.454000,6,6,,
0 days 00:00:04.374000,7,5,,
0 days 00:15:33,7,6,,
0 days 00:15:41.966000,7,7,,
0 days 00:15:45.352000,7,8,,
0 days 00:15:48.690000,7,9,,
0 days 00:15:53.939000,7,10,,
0 days 00:16:03.434000,7,11,,
0 days 00:19:18.497000,7,12,,
0 days 00:19:43.366000,7,11,,
0 days 00:19:48.057000,7,12,,
0 days 00:19:56.678000,7,13,,
0 days 00:20:06.670000,7,14,,
0 days 00:22:09.140000,7,15,,
0 days 00:22:24.597000,7,16,,
