LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
3.0,16,0 days 00:01:36.292000,0,,,,,0 days 00:50:07.398000,,,,
3.0,22,0 days 00:01:36.488000,0,,,,,0 days 00:50:08.486000,,,,
3.0,12,0 days 00:01:36.659000,0,,,,,0 days 00:50:08.890000,,,,
3.0,18,0 days 00:01:36.914000,0,,,,,0 days 00:50:09.868000,,,,
,16,,0,9.0,,,,0 days 00:50:09.977000,,,,
,63,,0,11.0,,,,0 days 00:50:09.977000,,,,
,12,,0,10.0,,,,0 days 00:50:09.977000,,,,
,22,,0,6.0,,,,0 days 00:50:09.977000,,,,
,18,,0,6.0,,,,0 days 00:50:09.977000,,,,
3.0,23,0 days 00:01:37.347000,0,,,,,0 days 00:50:12.434000,,,,
3.0,87,0 days 00:01:37.135000,0,,,,,0 days 00:50:13.030000,,,,
3.0,55,0 days 00:01:37.302000,0,,,,,0 days 00:50:13.784000,,,,
3.0,10,0 days 00:01:37.481000,0,,,,,0 days 00:50:14.455000,,,,
3.0,5,0 days 00:01:37.475000,0,,,,,0 days 00:50:14.960000,,,,
,4,,0,6.0,,,,0 days 00:50:14.981000,,,,
,23,,0,7.0,,,,0 days 00:50:14.981000,,,,
,14,,0,6.0,,,,0 days 00:50:14.981000,,,,
,87,,0,6.0,,,,0 days 00:50:14.981000,,,,
,55,,0,7.0,,,,0 days 00:50:14.981000,,,,
,5,,0,9.0,,,,0 days 00:50:14.981000,,,,
,10,,0,9.0,,,,0 days 00:50:14.981000,,,,
3.0,6,0 days 00:01:37.549000,0,,,,,0 days 00:50:15.540000,,,,
3.0,31,0 days 00:01:37.554000,0,,,,,0 days 00:50:16.149000,,,,
3.0,7,0 days 00:01:37.686000,0,,,,,0 days 00:50:16.733000,,,,
3.0,30,0 days 00:01:37.724000,0,,,,,0 days 00:50:17.457000,,,,
3.0,27,0 days 00:01:36.804000,0,,,,,0 days 00:50:18.995000,,,,
,6,,0,5.0,,,,0 days 00:50:19.979000,,,,
,7,,0,9.0,,,,0 days 00:50:19.979000,,,,
,31,,0,9.0,,,,0 days 00:50:19.979000,,,,
,30,,0,8.0,,,,0 days 00:50:19.979000,,,,
,27,,0,9.0,,,,0 days 00:50:19.979000,,,,
,44,,0,10.0,,,,0 days 00:51:39.980000,,,,
,1,,0,7.0,,,,0 days 00:51:39.980000,,,,
4.0,81,0 days 00:01:35.893000,0,,,,,0 days 00:51:40.688000,,,,
4.0,63,0 days 00:01:35.891000,0,,,,,0 days 00:51:42.260000,,,,
4.0,16,0 days 00:01:36.255000,0,,,,,0 days 00:51:43.660000,,,,
4.0,22,0 days 00:01:36.388000,0,,,,,0 days 00:51:44.764000,,,,
,81,,0,8.0,,,,0 days 00:51:44.987000,,,,
,16,,0,10.0,,,,0 days 00:51:44.987000,,,,
,63,,0,12.0,,,,0 days 00:51:44.987000,,,,
,22,,0,7.0,,,,0 days 00:51:44.987000,,,,
4.0,12,0 days 00:01:36.518000,0,,,,,0 days 00:51:45.384000,,,,
4.0,18,0 days 00:01:36.435000,0,,,,,0 days 00:51:46.360000,,,,
4.0,4,0 days 00:01:36.708000,0,,,,,0 days 00:51:47.399000,,,,
,4,,0,7.0,,,,0 days 00:51:49.986000,,,,
,12,,0,11.0,,,,0 days 00:51:49.986000,,,,
,23,,0,8.0,,,,0 days 00:51:49.986000,,,,
,18,,0,7.0,,,,0 days 00:51:49.986000,,,,
,14,,0,7.0,,,,0 days 00:51:49.986000,,,,
4.0,30,0 days 00:01:37.163000,0,,,,,0 days 00:51:54.562000,,,,
,87,,0,7.0,,,,0 days 00:51:54.987000,,,,
,55,,0,8.0,,,,0 days 00:51:54.987000,,,,
,5,,0,10.0,,,,0 days 00:51:54.987000,,,,
,6,,0,6.0,,,,0 days 00:51:54.987000,,,,
,7,,0,10.0,,,,0 days 00:51:54.987000,,,,
,10,,0,10.0,,,,0 days 00:51:54.987000,,,,
,31,,0,10.0,,,,0 days 00:51:54.987000,,,,
,30,,0,9.0,,,,0 days 00:51:54.987000,,,,
4.0,27,0 days 00:01:36.529000,0,,,,,0 days 00:51:55.509000,,,,
,27,,0,10.0,,,,0 days 00:51:59.988000,,,,
,44,,0,11.0,,,,0 days 00:53:14.988000,,,,
,1,,0,8.0,,,,0 days 00:53:19.991000,,,,
,81,,0,9.0,,,,0 days 00:53:19.991000,,,,
,63,,0,13.0,,,,0 days 00:53:19.991000,,,,
5.0,12,0 days 00:01:36.311000,0,,,,,0 days 00:53:21.729000,,,,
,16,,0,11.0,,,,0 days 00:53:24.987000,,,,
,4,,0,8.0,,,,0 days 00:53:24.987000,,,,
,12,,0,12.0,,,,0 days 00:53:24.987000,,,,
,22,,0,8.0,,,,0 days 00:53:24.987000,,,,
,18,,0,8.0,,,,0 days 00:53:24.987000,,,,
,23,,0,9.0,,,,0 days 00:53:30.004000,,,,
,14,,0,8.0,,,,0 days 00:53:30.004000,,,,
,87,,0,8.0,,,,0 days 00:53:30.004000,,,,
,55,,0,9.0,,,,0 days 00:53:30.004000,,,,
,10,,0,11.0,,,,0 days 00:53:30.004000,,,,
,5,,0,11.0,,,,0 days 00:53:34.987000,,,,
,6,,0,7.0,,,,0 days 00:53:34.987000,,,,
,7,,0,11.0,,,,0 days 00:53:34.987000,,,,
,31,,0,11.0,,,,0 days 00:53:34.987000,,,,
,30,,0,10.0,,,,0 days 00:53:34.987000,,,,
,27,,0,11.0,,,,0 days 00:53:34.987000,,,,
,44,,0,12.0,,,,0 days 00:54:55.003000,,,,
,1,,0,9.0,,,,0 days 00:54:55.003000,,,,
,81,,0,10.0,,,,0 days 00:54:55.003000,,,,
,63,,0,14.0,,,,0 days 00:54:55.003000,,,,
,16,,0,12.0,,,,0 days 00:55:00.003000,,,,
,12,,0,13.0,,,,0 days 00:55:00.003000,,,,
,22,,0,9.0,,,,0 days 00:55:00.003000,,,,
,4,,0,9.0,,,,0 days 00:55:04.995000,,,,
,18,,0,9.0,,,,0 days 00:55:04.995000,,,,
,14,,0,9.0,,,,0 days 00:55:04.995000,,,,
,23,,0,10.0,,,,0 days 00:55:10.001000,,,,
,87,,0,9.0,,,,0 days 00:55:10.001000,,,,
,55,,0,10.0,,,,0 days 00:55:10.001000,,,,
,5,,0,12.0,,,,0 days 00:55:10.001000,,,,
,6,,0,8.0,,,,0 days 00:55:10.001000,,,,
,10,,0,12.0,,,,0 days 00:55:10.001000,,,,
,31,,0,12.0,,,,0 days 00:55:10.001000,,,,
,30,,0,11.0,,,,0 days 00:55:10.001000,,,,
