Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:52:04.600000,1,2,+1.008,+1.008
0 days 00:52:11.638000,1,2,+1.100,+1.100
0 days 00:52:15.387000,1,2,+1.104,+1.104
0 days 00:52:19.551000,1,2,+1.050,+1.050
0 days 00:52:25.453000,1,2,+1.076,+1.076
0 days 00:52:29.982000,1,2,+1.111,+1.111
0 days 00:52:33.967000,1,2,+1.120,+1.120
0 days 00:52:40.188000,1,2,+1.220,+1.220
0 days 00:52:45.430000,1,2,+1.120,+1.120
0 days 00:52:49.711000,1,2,+1.066,+1.066
0 days 00:52:54.461000,1,2,+1.053,+1.053
0 days 00:52:58.234000,1,2,+1.026,+1.026
0 days 00:53:06.588000,1,2,+1.073,+1.073
0 days 00:53:10.461000,1,2,+1.089,+1.089
0 days 00:53:11.303000,1,2,+1.076,+1.076
0 days 00:53:15.654000,1,2,+1.026,+1.026
0 days 00:53:20.041000,1,2,+1.008,+1.008
0 days 00:53:21.251000,1,2,+0.996,+0.996
0 days 00:53:23.661000,1,2,+1.101,+1.101
0 days 00:53:28.887000,1,2,+1.269,+1.269
0 days 00:53:34.326000,1,2,+1.224,+1.224
0 days 00:53:38.535000,1,2,+1.285,+1.285
0 days 00:53:41.487000,1,2,+1.290,+1.290
0 days 00:53:48.584000,1,2,+1.405,+1.405
0 days 00:53:52.262000,1,2,+1.422,+1.422
0 days 00:53:56.330000,1,2,+1.382,+1.382
0 days 00:54:02.084000,1,2,+1.392,+1.392
0 days 00:54:06.641000,1,2,+1.450,+1.450
0 days 00:54:10.641000,1,2,+1.493,+1.493
0 days 00:54:16.887000,1,2,+1.576,+1.576
0 days 00:54:22.062000,1,2,+1.349,+1.349
0 days 00:54:26.307000,1,2,+1.269,+1.269
0 days 00:54:31.091000,1,2,+1.241,+1.241
0 days 00:54:34.835000,1,2,+1.207,+1.207
0 days 00:54:43.207000,1,2,+1.304,+1.304
0 days 00:54:47.138000,1,2,+1.381,+1.381
0 days 00:54:47.988000,1,2,+1.402,+1.402
0 days 00:54:52.369000,1,2,+1.340,+1.340
0 days 00:54:56.709000,1,2,+1.325,+1.325
0 days 00:54:57.866000,1,2,+1.300,+1.300
0 days 00:55:00.321000,1,2,+1.218,+1.218
0 days 00:55:05.398000,1,2,+1.358,+1.358
0 days 00:55:10.771000,1,2,+1.305,+1.305
0 days 00:55:14.988000,1,2,+1.340,+1.340
0 days 00:55:17.975000,1,2,+1.343,+1.343
0 days 00:55:25.012000,1,2,+1.439,+1.439
0 days 00:55:32.758000,1,2,+1.239,+1.239
