LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,27,,1,2.0,INTERMEDIATE,,,0 days 01:16:20.513000,,,2.0,
,30,,0,2.0,,,,0 days 01:16:20.513000,,,,
,30,,2,2.0,,,,0 days 01:16:20.513000,,,,
,31,,0,2.0,,,,0 days 01:16:20.513000,,,,
,31,,1,2.0,INTERMEDIATE,False,1,0 days 01:16:20.513000,0.0,,2.0,
,87,,0,2.0,,,,0 days 01:16:20.513000,,,,
2.0,30,0 days 00:02:49.299000,2,,,,,0 days 01:16:20.516000,,,,
2.0,87,0 days 00:02:49.798000,0,,,,,0 days 01:16:20.516000,,,,
,10,,1,2.0,INTERMEDIATE,,,0 days 01:16:25.496000,,,2.0,
,30,,3,2.0,INTERMEDIATE,False,1,0 days 01:16:25.496000,0.0,,2.0,
,87,,1,0.0,UNKNOWN,False,1,0 days 01:16:25.496000,0.0,,0.0,
,4,,1,2.0,INTERMEDIATE,,,0 days 01:16:30.505000,,,2.0,
,81,,1,2.0,INTERMEDIATE,,,0 days 01:16:40.504000,,,2.0,
,5,,1,2.0,INTERMEDIATE,,,0 days 01:17:05.505000,,,2.0,
,5,,2,0.0,UNKNOWN,False,1,0 days 01:17:05.505000,0.0,,0.0,
,87,,0,,,False,,0 days 01:17:20.516000,,,,
,87,,1,4.0,INTERMEDIATE,,,0 days 01:17:20.516000,,,2.0,
,87,,2,0.0,UNKNOWN,False,1,0 days 01:17:20.516000,0.0,,0.0,
,87,,2,2.0,INTERMEDIATE,,,0 days 01:17:25.519000,,,2.0,
,5,,2,2.0,INTERMEDIATE,,,0 days 01:17:55.519000,,,2.0,
,4,,1,3.0,,,,0 days 01:18:30.520000,,,,
,4,,2,0.0,UNKNOWN,False,1,0 days 01:18:35.523000,0.0,,0.0,
,81,,1,3.0,,,,0 days 01:18:35.523000,,,,
,1,,1,3.0,,,,0 days 01:18:35.523000,,,,
,1,,2,0.0,UNKNOWN,False,1,0 days 01:18:35.523000,0.0,,0.0,
,81,,2,0.0,UNKNOWN,False,1,0 days 01:18:40.531000,0.0,,0.0,
,1,,2,3.0,INTERMEDIATE,,,0 days 01:18:40.531000,,,3.0,
,63,,1,3.0,,,,0 days 01:18:40.531000,,,,
,63,,2,3.0,INTERMEDIATE,False,1,0 days 01:18:40.531000,0.0,,3.0,
,16,,1,3.0,,,,0 days 01:18:40.531000,,,,
