Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 00:00:04.729000,1,1,,
0 days 00:14:35.081000,1,2,,
0 days 00:14:46.405000,1,3,,
0 days 00:14:47.742000,1,4,,
0 days 00:14:51.099000,1,5,,
0 days 00:15:00.181000,1,6,,
0 days 00:15:05.132000,1,7,,
0 days 00:15:10.567000,1,8,,
0 days 00:15:18.707000,1,9,,
0 days 00:18:34.773000,1,1,,
0 days 00:21:15.093000,1,2,,
0 days 00:21:27.100000,1,3,,
0 days 00:21:59.409000,1,4,,
0 days 00:22:07.544000,1,5,,
0 days 00:22:17.838000,1,3,,
0 days 00:22:24.850000,1,4,,
0 days 00:22:38.901000,1,5,,
0 days 00:22:53.542000,1,6,,
0 days 00:24:21.245000,1,7,,
0 days 00:24:31.487000,1,8,,
0 days 00:25:14.869000,1,9,,
0 days 00:26:05.005000,1,3,,
0 days 00:29:48.305000,1,4,,
0 days 00:31:56.432000,1,5,,
0 days 00:43:40.934000,1,1,,
0 days 00:51:29.045000,1,2,,
0 days 00:51:38.488000,1,3,,
0 days 01:06:44.907000,1,4,,
0 days 01:08:14.119000,1,5,,
0 days 00:00:04.729000,4,2,,
0 days 00:14:35.081000,4,3,,
0 days 00:14:46.405000,4,4,,
0 days 00:14:47.742000,4,3,,
0 days 00:17:54.703000,4,1,,
0 days 00:18:07.068000,4,2,,
0 days 00:18:20.549000,4,3,,
0 days 00:18:34.773000,4,4,,
0 days 00:18:42.937000,4,5,,
0 days 00:18:46.820000,4,6,,
0 days 00:18:52.383000,4,7,,
0 days 00:19:11.799000,4,8,,
0 days 00:19:27.394000,4,9,,
0 days 00:19:48.519000,4,10,,
0 days 00:20:45.982000,4,11,,
0 days 00:20:56.825000,4,12,,
0 days 00:21:15.093000,4,1,,
0 days 00:22:24.850000,4,2,,
0 days 00:22:38.901000,4,3,,
0 days 00:24:31.487000,4,4,,
0 days 00:24:41.740000,4,1,,
0 days 00:25:52.948000,4,2,,
0 days 00:29:48.305000,4,3,,
0 days 00:31:56.432000,4,4,,
0 days 00:43:40.934000,4,5,,
0 days 00:46:02.936000,4,6,,
0 days 00:48:07.830000,4,7,,
0 days 01:06:44.907000,4,8,,
0 days 01:06:59.333000,4,9,,
0 days 01:07:24.550000,4,10,,
0 days 01:08:14.119000,4,3,,
0 days 01:13:20.336000,4,1,,
0 days 00:00:04.729000,5,3,,
0 days 00:14:35.081000,5,4,,
0 days 00:14:46.405000,5,5,,
0 days 00:14:51.099000,5,4,,
0 days 00:18:07.068000,5,5,,
0 days 00:18:16.845000,5,3,,
0 days 00:18:20.549000,5,4,,
0 days 00:18:30.953000,5,5,,
0 days 00:18:34.773000,5,6,,
0 days 00:18:42.937000,5,7,,
0 days 00:18:46.820000,5,8,,
0 days 00:18:52.383000,5,9,,
0 days 00:19:02.583000,5,10,,
0 days 00:19:08.740000,5,11,,
0 days 00:19:11.799000,5,12,,
0 days 00:19:27.394000,5,13,,
0 days 00:19:48.519000,5,14,,
0 days 00:20:45.982000,5,15,,
0 days 00:20:56.825000,5,16,,
0 days 00:21:35.724000,5,17,,
0 days 00:21:42.536000,5,14,,
0 days 00:21:54.225000,5,15,,
0 days 00:22:32.770000,5,16,,
0 days 00:24:05.380000,5,17,,
0 days 00:24:52.158000,5,18,,
0 days 00:25:39.328000,5,19,,
0 days 00:30:40.446000,5,20,,
0 days 00:43:08.833000,5,18,,
0 days 00:43:58.978000,5,19,,
0 days 00:44:06.410000,5,20,,
0 days 00:46:40.202000,5,17,,
0 days 00:48:07.830000,5,16,,
0 days 00:48:07.884000,5,17,,
0 days 00:48:58.728000,5,18,,
0 days 00:51:12.281000,5,19,,
0 days 01:06:54.195000,5,11,,
0 days 01:07:24.550000,5,12,,
0 days 01:09:42.439000,5,13,,
0 days 01:11:58.042000,5,14,,
0 days 01:13:35.038000,5,15,,
0 days 00:00:04.729000,6,4,,
0 days 00:14:35.081000,6,5,,
0 days 00:14:46.405000,6,2,,
