Time,Driver,LapTime,NumberOfLaps,NumberOfPitStops,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest
0 days 00:56:01.895000,18,0 days 00:01:31.982000,11,2,,,0 days 00:00:24.231000,0 days 00:00:27.771000,0 days 00:00:39.980000,0 days 00:54:54.144000,0 days 00:55:21.915000,0 days 00:56:01.895000,280.0,275.0,268.0,330.0,True
0 days 00:58:11.210000,18,0 days 00:02:09.315000,12,2,,0 days 00:58:06.998000,0 days 00:00:31.937000,0 days 00:00:33.332000,0 days 00:01:04.046000,0 days 00:56:33.832000,0 days 00:57:07.164000,0 days 00:58:11.210000,227.0,217.0,,156.0,False
0 days 00:15:57.464000,31,,1,0,0 days 00:13:56.011000,,,0 days 00:00:36.137000,0 days 00:00:47.805000,,0 days 00:15:09.659000,0 days 00:15:57.501000,234.0,246.0,264.0,302.0,False
0 days 00:17:31.238000,31,0 days 00:01:33.774000,2,0,,,0 days 00:00:25.112000,0 days 00:00:28.048000,0 days 00:00:40.614000,0 days 00:16:22.576000,0 days 00:16:50.624000,0 days 00:17:31.238000,278.0,274.0,265.0,325.0,True
0 days 00:19:41.408000,31,0 days 00:02:10.170000,3,1,,0 days 00:19:39.683000,0 days 00:00:32.424000,0 days 00:00:37.525000,0 days 00:01:00.221000,0 days 00:18:03.662000,0 days 00:18:41.187000,0 days 00:19:41.408000,185.0,194.0,,209.0,False
0 days 00:24:17.994000,31,,4,1,0 days 00:22:01.247000,,,0 days 00:00:39.432000,0 days 00:00:56.786000,,0 days 00:23:21.285000,0 days 00:24:18.118000,237.0,225.0,268.0,163.0,False
0 days 00:25:50.645000,31,0 days 00:01:32.651000,5,1,,,0 days 00:00:24.702000,0 days 00:00:27.798000,0 days 00:00:40.151000,0 days 00:24:42.696000,0 days 00:25:10.494000,0 days 00:25:50.645000,279.0,275.0,265.0,329.0,True
0 days 00:27:55.927000,31,0 days 00:02:05.282000,6,1,,0 days 00:27:53.415000,0 days 00:00:30.414000,0 days 00:00:36.088000,0 days 00:00:58.780000,0 days 00:26:21.059000,0 days 00:26:57.147000,0 days 00:27:55.927000,205.0,219.0,,224.0,False
0 days 00:15:21.944000,10,,1,0,0 days 00:13:26.591000,,,0 days 00:00:33.501000,0 days 00:00:47.309000,,0 days 00:14:34.681000,0 days 00:15:22.018000,257.0,253.0,266.0,310.0,False
0 days 00:16:54.899000,10,0 days 00:01:32.955000,2,0,,,0 days 00:00:24.800000,0 days 00:00:27.979000,0 days 00:00:40.176000,0 days 00:15:46.744000,0 days 00:16:14.723000,0 days 00:16:54.899000,278.0,274.0,267.0,332.0,True
0 days 00:19:00.781000,10,0 days 00:02:05.882000,3,0,,,0 days 00:00:39.753000,0 days 00:00:35.569000,0 days 00:00:50.560000,0 days 00:17:34.652000,0 days 00:18:10.221000,0 days 00:19:00.781000,188.0,240.0,238.0,275.0,False
0 days 00:21:09.185000,10,0 days 00:02:08.404000,4,0,,,0 days 00:00:37.628000,0 days 00:00:36.689000,0 days 00:00:54.087000,0 days 00:19:38.409000,0 days 00:20:15.098000,0 days 00:21:09.185000,251.0,250.0,267.0,309.0,False
0 days 00:22:41.825000,10,0 days 00:01:32.640000,5,0,,,0 days 00:00:24.918000,0 days 00:00:27.828000,0 days 00:00:39.894000,0 days 00:21:34.103000,0 days 00:22:01.931000,0 days 00:22:41.825000,279.0,275.0,268.0,330.0,True
0 days 00:24:46.627000,10,0 days 00:02:04.802000,6,0,,0 days 00:24:44.748000,0 days 00:00:35.093000,0 days 00:00:39.495000,0 days 00:00:50.214000,0 days 00:23:16.918000,0 days 00:23:56.413000,0 days 00:24:46.627000,193.0,208.0,,331.0,False
0 days 00:16:34.095000,55,,1,0,0 days 00:14:20.173000,,,0 days 00:00:30.182000,0 days 00:00:56.444000,,0 days 00:15:37.735000,0 days 00:16:34.160000,275.0,269.0,269.0,301.0,False
0 days 00:18:07.366000,55,0 days 00:01:33.271000,2,0,,,0 days 00:00:24.960000,0 days 00:00:28.027000,0 days 00:00:40.284000,0 days 00:16:59.055000,0 days 00:17:27.082000,0 days 00:18:07.366000,280.0,275.0,264.0,333.0,True
0 days 00:20:10.131000,55,0 days 00:02:02.765000,3,1,,0 days 00:20:07.835000,0 days 00:00:29.561000,0 days 00:00:34.055000,0 days 00:00:59.149000,0 days 00:18:36.927000,0 days 00:19:10.982000,0 days 00:20:10.131000,218.0,244.0,,285.0,False
0 days 00:22:49.440000,55,,4,1,0 days 00:20:44.457000,,0 days 00:01:11.399000,0 days 00:00:31.654000,0 days 00:00:56.252000,0 days 00:21:21.642000,0 days 00:21:53.236000,0 days 00:22:49.620000,262.0,256.0,271.0,302.0,False
0 days 00:24:21.897000,55,0 days 00:01:32.457000,5,1,,,0 days 00:00:24.601000,0 days 00:00:27.883000,0 days 00:00:39.973000,0 days 00:23:14.041000,0 days 00:23:41.924000,0 days 00:24:21.897000,280.0,274.0,270.0,334.0,True
0 days 00:26:24.628000,55,0 days 00:02:02.731000,6,2,,0 days 00:26:22.903000,0 days 00:00:30.257000,0 days 00:00:35.205000,0 days 00:00:57.269000,0 days 00:24:52.154000,0 days 00:25:27.359000,0 days 00:26:24.628000,216.0,226.0,,205.0,False
0 days 00:38:35.706000,55,,7,2,0 days 00:36:40.254000,,,0 days 00:00:32.470000,0 days 00:00:53.870000,,0 days 00:37:41.911000,0 days 00:38:35.855000,272.0,262.0,242.0,315.0,False
0 days 00:40:28.775000,55,0 days 00:01:53.069000,8,2,,,0 days 00:00:31.770000,0 days 00:00:32.254000,0 days 00:00:49.045000,0 days 00:39:07.476000,0 days 00:39:39.730000,0 days 00:40:28.775000,,267.0,269.0,309.0,True
0 days 00:42:01.100000,55,0 days 00:01:32.325000,9,2,,,0 days 00:00:24.615000,0 days 00:00:27.668000,0 days 00:00:40.042000,0 days 00:40:53.390000,0 days 00:41:21.058000,0 days 00:42:01.100000,281.0,276.0,262.0,332.0,True
