LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,87,,0,0.0,MEDIUM,True,0,0 days 00:10:57.322000,0.0,,0.0,
,44,,0,0.0,UNKNOWN,False,0,0 days 00:11:27.326000,0.0,,0.0,
,81,,0,0.0,UNKNOWN,False,0,0 days 00:11:37.333000,0.0,,0.0,
,16,,0,0.0,HARD,True,0,0 days 00:11:42.333000,0.0,,0.0,
,44,,0,,HARD,True,,0 days 00:11:42.333000,,,,
,81,,0,,HARD,True,,0 days 00:11:42.333000,,,,
,6,,0,0.0,HARD,True,0,0 days 00:11:52.355000,0.0,,0.0,
,87,,0,1.0,,,,0 days 00:12:37.360000,,,,
,4,,0,0.0,HARD,True,0,0 days 00:12:42.377000,0.0,,0.0,
,22,,0,0.0,HARD,True,0,0 days 00:12:42.377000,0.0,,0.0,
,44,,0,1.0,,,,0 days 00:13:47.392000,,,,
,44,,1,0.0,HARD,True,0,0 days 00:13:47.392000,0.0,,0.0,
,16,,0,1.0,,,,0 days 00:21:22.439000,,,,
,44,,1,1.0,,,,0 days 00:21:27.429000,,,,
,16,,1,0.0,HARD,True,0,0 days 00:21:57.470000,0.0,,0.0,
,44,,2,0.0,MEDIUM,True,0,0 days 00:22:02.481000,0.0,,0.0,
,7,,0,0.0,SOFT,True,0,0 days 00:22:07.484000,0.0,,0.0,
,18,,0,0.0,HARD,True,0,0 days 00:22:07.484000,0.0,,0.0,
,31,,0,0.0,SOFT,True,0,0 days 00:22:07.484000,0.0,,0.0,
,14,,0,0.0,HARD,True,0,0 days 00:22:12.485000,0.0,,0.0,
,31,,0,1.0,,,,0 days 00:23:52.504000,,,,
,16,,1,1.0,,,,0 days 00:24:12.527000,,,,
,16,,2,0.0,MEDIUM,True,0,0 days 00:24:12.527000,0.0,,0.0,
,7,,0,1.0,,,,0 days 00:24:17.498000,,,,
,18,,0,1.0,,,,0 days 00:24:22.501000,,,,
,18,,1,0.0,MEDIUM,True,0,0 days 00:24:22.501000,0.0,,0.0,
,14,,0,1.0,,,,0 days 00:24:32.502000,,,,
,14,,1,0.0,MEDIUM,True,0,0 days 00:24:37.504000,0.0,,0.0,
,31,,0,2.0,,,,0 days 00:25:12.508000,,,,
3.0,31,0 days 00:01:20.063000,0,,,,,0 days 00:25:12.711000,3.0,,,
,7,,0,2.0,,,,0 days 00:25:37.522000,,,,
,30,,0,0.0,SOFT,True,0,0 days 00:25:37.522000,0.0,,0.0,
