LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
3.0,44,0 days 00:01:37.853000,0,,,,,0 days 01:04:00.162000,,,,
3.0,16,0 days 00:01:38.087000,0,,,,,0 days 01:04:01.330000,,,,
3.0,1,0 days 00:01:38.302000,0,,,,,0 days 01:04:02.165000,,,,
,1,,0,3.0,,,,0 days 01:04:04.661000,,,,
,44,,0,3.0,,,,0 days 01:04:04.661000,,,,
,16,,0,3.0,,,,0 days 01:04:04.661000,,,,
,12,,0,3.0,,,,0 days 01:04:04.661000,,,,
,22,,0,3.0,,,,0 days 01:04:04.661000,,,,
3.0,6,0 days 00:01:39.050000,0,,,,,0 days 01:04:05.774000,,,,
3.0,31,0 days 00:01:39.048000,0,,,,,0 days 01:04:06.336000,,,,
3.0,23,0 days 00:01:39.095000,0,,,,,0 days 01:04:07.188000,,,,
3.0,14,0 days 00:01:39.256000,0,,,,,0 days 01:04:07.961000,,,,
3.0,10,0 days 00:01:39.125000,0,,,,,0 days 01:04:08.293000,,,,
3.0,18,0 days 00:01:39.242000,0,,,,,0 days 01:04:08.972000,,,,
3.0,55,0 days 00:01:39.270000,0,,,,,0 days 01:04:09.566000,,,,
,6,,0,3.0,,,,0 days 01:04:09.661000,,,,
,23,,0,3.0,,,,0 days 01:04:09.661000,,,,
,31,,0,3.0,,,,0 days 01:04:09.661000,,,,
,14,,0,8.0,,,,0 days 01:04:09.661000,,,,
,18,,0,3.0,,,,0 days 01:04:09.661000,,,,
,55,,0,3.0,,,,0 days 01:04:09.661000,,,,
,10,,0,3.0,,,,0 days 01:04:09.661000,,,,
3.0,87,0 days 00:01:39.087000,0,,,,,0 days 01:04:10.090000,,,,
3.0,7,0 days 00:01:39.483000,0,,,,,0 days 01:04:10.822000,,,,
,27,,0,3.0,,,,0 days 01:04:14.666000,,,,
,87,,0,3.0,,,,0 days 01:04:14.666000,,,,
,7,,0,3.0,,,,0 days 01:04:14.666000,,,,
,30,,0,3.0,,,,0 days 01:04:14.666000,,,,
,5,,1,2.0,,,,0 days 01:04:44.665000,,,,
3.0,5,0 days 00:01:37.965000,1,,,,,0 days 01:04:44.770000,1.0,,,
,81,,0,4.0,,,,0 days 01:05:34.666000,,,,
4.0,16,0 days 00:01:37.648000,0,,,,,0 days 01:05:38.985000,,,,
,63,,0,4.0,,,,0 days 01:05:39.669000,,,,
,4,,0,4.0,,,,0 days 01:05:39.669000,,,,
,44,,0,4.0,,,,0 days 01:05:39.669000,,,,
,16,,0,4.0,,,,0 days 01:05:39.669000,,,,
,1,,0,4.0,,,,0 days 01:05:44.667000,,,,
,6,,0,4.0,,,,0 days 01:05:44.667000,,,,
,12,,0,4.0,,,,0 days 01:05:44.667000,,,,
,22,,0,4.0,,,,0 days 01:05:44.667000,,,,
4.0,6,0 days 00:01:38.895000,0,,,,,0 days 01:05:44.715000,,,,
4.0,31,0 days 00:01:38.921000,0,,,,,0 days 01:05:45.266000,,,,
4.0,23,0 days 00:01:39.046000,0,,,,,0 days 01:05:46.215000,,,,
4.0,10,0 days 00:01:38.701000,0,,,,,0 days 01:05:46.840000,,,,
4.0,18,0 days 00:01:38.655000,0,,,,,0 days 01:05:47.560000,,,,
4.0,55,0 days 00:01:38.789000,0,,,,,0 days 01:05:48.315000,,,,
,23,,0,4.0,,,,0 days 01:05:49.668000,,,,
,31,,0,4.0,,,,0 days 01:05:49.668000,,,,
,18,,0,4.0,,,,0 days 01:05:49.668000,,,,
,55,,0,4.0,,,,0 days 01:05:49.668000,,,,
,10,,0,4.0,,,,0 days 01:05:49.668000,,,,
,87,,0,4.0,,,,0 days 01:05:49.668000,,,,
4.0,30,0 days 00:01:39.614000,0,,,,,0 days 01:05:51.216000,,,,
,27,,0,4.0,,,,0 days 01:05:54.666000,,,,
