LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,27,,0,0.0,MEDIUM,True,0,0 days 00:14:37.800000,0.0,,0.0,
,4,,0,0.0,UNKNOWN,False,0,0 days 00:14:47.858000,0.0,,0.0,
,6,,0,0.0,MEDIUM,True,0,0 days 00:14:47.858000,0.0,,0.0,
,4,,0,,MEDIUM,True,,0 days 00:14:52.819000,,,,
,5,,0,0.0,MEDIUM,True,0,0 days 00:14:52.819000,0.0,,0.0,
,10,,0,0.0,MEDIUM,True,0,0 days 00:15:02.818000,0.0,,0.0,
,7,,0,0.0,MEDIUM,True,0,0 days 00:15:07.820000,0.0,,0.0,
,18,,0,0.0,MEDIUM,True,0,0 days 00:15:12.823000,0.0,,0.0,
,22,,0,0.0,MEDIUM,True,0,0 days 00:15:22.851000,0.0,,0.0,
,1,,0,0.0,MEDIUM,True,0,0 days 00:15:32.840000,0.0,,0.0,
,44,,0,0.0,MEDIUM,True,0,0 days 00:15:42.845000,0.0,,0.0,
,16,,0,0.0,MEDIUM,True,0,0 days 00:15:47.852000,0.0,,0.0,
,30,,0,0.0,UNKNOWN,False,0,0 days 00:15:52.863000,0.0,,0.0,
,30,,0,,MEDIUM,True,,0 days 00:15:57.864000,,,,
,81,,0,0.0,MEDIUM,True,0,0 days 00:16:02.866000,0.0,,0.0,
,87,,0,0.0,MEDIUM,True,0,0 days 00:16:02.866000,0.0,,0.0,
,12,,0,0.0,MEDIUM,True,0,0 days 00:16:12.883000,0.0,,0.0,
,63,,0,0.0,MEDIUM,True,0,0 days 00:16:27.926000,0.0,,0.0,
,4,,0,1.0,,,,0 days 00:16:32.883000,,,,
,27,,0,1.0,,,,0 days 00:16:37.891000,,,,
,6,,0,1.0,,,,0 days 00:16:42.891000,,,,
,27,,1,1.0,MEDIUM,False,1,0 days 00:16:42.891000,0.0,,1.0,
,10,,0,1.0,,,,0 days 00:16:47.897000,,,,
,14,,0,0.0,MEDIUM,True,0,0 days 00:16:47.897000,0.0,,0.0,
,5,,0,1.0,,,,0 days 00:16:52.894000,,,,
,7,,0,1.0,,,,0 days 00:17:02.898000,,,,
,18,,0,1.0,,,,0 days 00:17:07.894000,,,,
,1,,0,1.0,,,,0 days 00:17:17.898000,,,,
,22,,0,1.0,,,,0 days 00:17:22.896000,,,,
,44,,0,1.0,,,,0 days 00:17:27.923000,,,,
,16,,0,1.0,,,,0 days 00:17:32.898000,,,,
,30,,0,1.0,,,,0 days 00:17:42.907000,,,,
,87,,0,1.0,,,,0 days 00:17:47.901000,,,,
,55,,0,0.0,MEDIUM,True,0,0 days 00:17:52.906000,0.0,,0.0,
,81,,0,1.0,,,,0 days 00:17:52.906000,,,,
,4,,0,2.0,,,,0 days 00:17:57.901000,,,,
3.0,4,0 days 00:01:21.896000,0,,,,,0 days 00:17:57.923000,3.0,,,
,63,,0,1.0,,,,0 days 00:18:02.901000,,,,
,6,,0,2.0,,,,0 days 00:18:07.898000,,,,
,10,,0,2.0,,,,0 days 00:18:07.898000,,,,
,4,,0,,,,,0 days 00:18:07.947000,1.0,,,
3.0,6,0 days 00:01:26.964000,0,,,,,0 days 00:18:07.947000,1.0,,,
3.0,10,0 days 00:01:21.074000,0,,,,,0 days 00:18:07.947000,3.0,,,
,5,,0,2.0,,,,0 days 00:18:17.900000,,,,
3.0,5,0 days 00:01:25.186000,0,,,,,0 days 00:18:18.236000,1.0,,,
,7,,0,2.0,,,,0 days 00:18:22.908000,,,,
3.0,7,0 days 00:01:21.807000,0,,,,,0 days 00:18:22.944000,1.0,,,
,14,,0,1.0,,,,0 days 00:18:27.899000,,,,
,12,,0,1.0,,,,0 days 00:18:32.907000,,,,
,18,,0,2.0,,,,0 days 00:18:32.907000,,,,
3.0,18,0 days 00:01:23.264000,0,,,,,0 days 00:18:32.987000,1.0,,,
,1,,0,2.0,,,,0 days 00:18:37.907000,,,,
3.0,1,0 days 00:01:19.771000,0,,,,,0 days 00:18:37.907000,3.0,,,
,10,,0,,,,,0 days 00:18:37.907000,1.0,,,
,22,,0,2.0,,,,0 days 00:18:42.949000,,,,
,31,,0,0.0,UNKNOWN,False,0,0 days 00:18:42.949000,0.0,,0.0,
3.0,22,0 days 00:01:21.513000,0,,,,,0 days 00:18:42.952000,1.0,,,
,27,,1,2.0,,,,0 days 00:18:47.907000,,,,
,31,,0,,MEDIUM,True,,0 days 00:18:47.907000,,,,
,44,,0,2.0,,,,0 days 00:18:47.907000,,,,
3.0,44,0 days 00:01:20.556000,0,,,,,0 days 00:18:48.107000,1.0,,,
,16,,0,2.0,,,,0 days 00:18:52.920000,,,,
,27,,2,2.0,MEDIUM,False,1,0 days 00:18:52.920000,0.0,,2.0,
3.0,16,0 days 00:01:20.012000,0,,,,,0 days 00:18:53.355000,1.0,,,
,30,,0,2.0,,,,0 days 00:19:02.920000,,,,
3.0,30,0 days 00:01:22.923000,0,,,,,0 days 00:19:03.258000,1.0,,,
,81,,0,2.0,,,,0 days 00:19:12.923000,,,,
,87,,0,2.0,,,,0 days 00:19:12.923000,,,,
3.0,81,0 days 00:01:20.142000,0,,,,,0 days 00:19:13.026000,1.0,,,
3.0,87,0 days 00:01:23.446000,0,,,,,0 days 00:19:13.026000,1.0,,,
4.0,6,0 days 00:01:21.748000,0,,,,,0 days 00:19:27.394000,,,,
,6,,0,3.0,,,,0 days 00:19:27.923000,,,,
,63,,0,2.0,,,,0 days 00:19:27.923000,,,,
3.0,63,0 days 00:01:25.483000,0,,,,,0 days 00:19:28.080000,1.0,,,
,55,,0,1.0,,,,0 days 00:19:37.924000,,,,
4.0,7,0 days 00:01:20.725000,0,,,,,0 days 00:19:41.289000,,,,
,7,,0,3.0,,,,0 days 00:19:42.921000,,,,
,14,,0,2.0,,,,0 days 00:19:52.921000,,,,
3.0,14,0 days 00:01:21.703000,0,,,,,0 days 00:19:53.021000,1.0,,,
,4,,0,3.0,,,,0 days 00:19:57.931000,,,,
,10,,0,3.0,,,,0 days 00:20:07.925000,,,,
,12,,0,2.0,,,,0 days 00:20:17.924000,,,,
3.0,12,0 days 00:01:43.400000,0,,,,,0 days 00:20:17.993000,1.0,,,
,5,,0,3.0,,,,0 days 00:20:22.938000,,,,
4.0,87,0 days 00:01:22.395000,0,,,,,0 days 00:20:31.184000,,,,
,87,,0,3.0,,,,0 days 00:20:32.926000,,,,
,18,,0,3.0,,,,0 days 00:20:37.923000,,,,
,44,,0,3.0,,,,0 days 00:20:42.925000,,,,
4.0,63,0 days 00:01:20.286000,0,,,,,0 days 00:20:45.982000,,,,
,63,,0,3.0,,,,0 days 00:20:47.936000,,,,
,22,,0,3.0,,,,0 days 00:20:52.928000,,,,
,31,,0,1.0,,,,0 days 00:20:57.924000,,,,
,55,,0,2.0,,,,0 days 00:20:57.924000,,,,
3.0,55,0 days 00:01:20.432000,0,,,,,0 days 00:20:58.049000,1.0,,,
,1,,0,3.0,,,,0 days 00:21:02.938000,,,,
,16,,0,3.0,,,,0 days 00:21:07.934000,,,,
,30,,0,3.0,,,,0 days 00:21:12.941000,,,,
