LapNumber,Driver,LapTime,Stint,TotalLaps,Compound,New,TyresNotChanged,Time,LapFlags,LapCountTime,StartLaps,Outlap
,81,,0,2.0,,,,0 days 00:18:37.353000,,,,
3.0,81,0 days 00:01:31.723000,0,,,,,0 days 00:18:37.454000,3.0,,,
,44,,0,,,,,0 days 00:18:37.454000,1.0,,,
,22,,0,3.0,,,,0 days 00:18:47.347000,,,,
,1,,0,3.0,,,,0 days 00:18:47.347000,,,,
,18,,0,2.0,,,,0 days 00:18:57.347000,,,,
,6,,0,3.0,,,,0 days 00:18:57.347000,,,,
3.0,18,0 days 00:01:32.961000,0,,,,,0 days 00:18:57.566000,1.0,,,
,14,,0,2.0,,,,0 days 00:19:02.347000,,,,
,10,,0,3.0,,,,0 days 00:19:02.347000,,,,
3.0,14,0 days 00:01:32.121000,0,,,,,0 days 00:19:02.519000,1.0,,,
,27,,0,2.0,,,,0 days 00:19:07.347000,,,,
3.0,27,0 days 00:01:32.675000,0,,,,,0 days 00:19:07.753000,1.0,,,
,7,,0,3.0,,,,0 days 00:19:12.354000,,,,
,87,,0,3.0,,,,0 days 00:19:27.339000,,,,
,31,,0,3.0,,,,0 days 00:19:42.352000,,,,
,44,,0,3.0,,,,0 days 00:19:52.352000,,,,
,12,,0,4.0,,,,0 days 00:19:57.343000,,,,
5.0,63,0 days 00:01:32.290000,0,,,,,0 days 00:20:04.535000,,,,
,16,,0,3.0,,,,0 days 00:20:07.354000,,,,
,63,,0,4.0,,,,0 days 00:20:07.354000,,,,
,55,,0,3.0,,,,0 days 00:20:12.346000,,,,
,30,,0,3.0,,,,0 days 00:20:22.357000,,,,
,23,,0,3.0,,,,0 days 00:20:32.348000,,,,
,4,,0,3.0,,,,0 days 00:20:37.363000,,,,
,81,,0,3.0,,,,0 days 00:20:42.348000,,,,
,12,,1,4.0,MEDIUM,False,1,0 days 00:20:42.348000,0.0,,4.0,
,55,,1,3.0,MEDIUM,False,1,0 days 00:20:47.363000,0.0,,3.0,
,18,,0,3.0,,,,0 days 00:20:57.363000,,,,
,6,,1,0.0,UNKNOWN,False,1,0 days 00:20:57.363000,0.0,,0.0,
,6,,1,3.0,MEDIUM,,,0 days 00:21:02.363000,,,3.0,
,27,,0,3.0,,,,0 days 00:21:07.355000,,,,
,14,,0,3.0,,,,0 days 00:21:07.355000,,,,
,22,,1,3.0,MEDIUM,False,1,0 days 00:21:12.360000,0.0,,3.0,
,10,,0,4.0,,,,0 days 00:21:12.360000,,,,
,5,,1,0.0,UNKNOWN,False,1,0 days 00:21:12.360000,0.0,,0.0,
,7,,0,4.0,,,,0 days 00:21:17.360000,,,,
,5,,1,3.0,MEDIUM,,,0 days 00:21:22.360000,,,3.0,
,16,,1,3.0,MEDIUM,False,1,0 days 00:21:27.454000,0.0,,3.0,
,1,,1,3.0,MEDIUM,False,1,0 days 00:21:37.361000,0.0,,3.0,
,87,,1,3.0,MEDIUM,False,1,0 days 00:21:47.361000,0.0,,3.0,
,44,,1,3.0,MEDIUM,False,1,0 days 00:21:57.371000,0.0,,3.0,
,31,,1,3.0,MEDIUM,False,1,0 days 00:22:02.372000,0.0,,3.0,
,63,,0,5.0,,,,0 days 00:22:12.372000,,,,
,27,,1,3.0,MEDIUM,False,1,0 days 00:22:17.372000,0.0,,3.0,
,30,,0,4.0,,,,0 days 00:22:27.380000,,,,
,23,,0,4.0,,,,0 days 00:22:32.364000,,,,
6.0,10,0 days 00:01:32.640000,0,,,,,0 days 00:22:41.874000,,,,
,4,,0,4.0,,,,0 days 00:22:42.374000,,,,
,10,,0,5.0,,,,0 days 00:22:42.374000,,,,
,12,,1,5.0,,,,0 days 00:22:47.376000,,,,
6.0,7,0 days 00:01:32.575000,0,,,,,0 days 00:22:47.676000,,,,
,55,,1,4.0,,,,0 days 00:22:52.370000,,,,
,7,,0,5.0,,,,0 days 00:22:52.370000,,,,
,6,,1,4.0,,,,0 days 00:22:57.370000,,,,
,81,,0,4.0,,,,0 days 00:23:07.378000,,,,
,18,,0,4.0,,,,0 days 00:23:07.378000,,,,
,22,,1,4.0,,,,0 days 00:23:12.378000,,,,
,5,,1,4.0,,,,0 days 00:23:17.378000,,,,
,14,,0,4.0,,,,0 days 00:23:27.378000,,,,
,16,,1,4.0,,,,0 days 00:23:32.377000,,,,
,1,,1,4.0,,,,0 days 00:23:42.377000,,,,
,87,,1,4.0,,,,0 days 00:23:47.377000,,,,
,44,,1,4.0,,,,0 days 00:23:57.377000,,,,
6.0,23,0 days 00:01:32.462000,0,,,,,0 days 00:24:04.591000,,,,
,23,,0,5.0,,,,0 days 00:24:07.372000,,,,
6.0,4,0 days 00:01:31.396000,0,,,,,0 days 00:24:10.138000,3.0,,,
,81,,0,,,,,0 days 00:24:10.138000,1.0,,,
,4,,0,5.0,,,,0 days 00:24:12.384000,,,,
,63,,0,6.0,,,,0 days 00:24:12.384000,,,,
,27,,1,4.0,,,,0 days 00:24:17.384000,,,,
,12,,1,6.0,,,,0 days 00:24:17.384000,,,,
,12,,0,,,,,0 days 00:24:17.509000,0.0,,,
7.0,12,0 days 00:01:31.999000,1,,,,,0 days 00:24:17.509000,1.0,,,
,31,,1,4.0,,,,0 days 00:24:22.384000,,,,
,55,,1,5.0,,,,0 days 00:24:22.384000,,,,
,55,,0,,,,,0 days 00:24:22.399000,0.0,,,
6.0,55,0 days 00:01:32.457000,1,,,,,0 days 00:24:22.399000,1.0,,,
,6,,1,5.0,,,,0 days 00:24:32.373000,,,,
,6,,0,,,,,0 days 00:24:32.591000,0.0,,,
6.0,6,0 days 00:01:32.171000,1,,,,,0 days 00:24:32.591000,1.0,,,
6.0,18,0 days 00:01:32.327000,0,,,,,0 days 00:24:37.201000,,,,
,18,,0,5.0,,,,0 days 00:24:37.373000,,,,
,30,,0,5.0,,,,0 days 00:24:42.388000,,,,
,22,,1,5.0,,,,0 days 00:24:47.373000,,,,
,10,,0,6.0,,,,0 days 00:24:47.373000,,,,
,22,,0,,,,,0 days 00:24:47.670000,0.0,,,
6.0,22,0 days 00:01:32.316000,1,,,,,0 days 00:24:47.670000,1.0,,,
,5,,1,5.0,,,,0 days 00:24:52.388000,,,,
,7,,0,6.0,,,,0 days 00:24:52.388000,,,,
,5,,0,,,,,0 days 00:24:52.482000,0.0,,,
6.0,5,0 days 00:01:32.539000,1,,,,,0 days 00:24:52.482000,1.0,,,
,16,,1,5.0,,,,0 days 00:25:02.388000,,,,
,16,,0,,,,,0 days 00:25:02.560000,0.0,,,
6.0,16,0 days 00:01:31.518000,1,,,,,0 days 00:25:02.560000,1.0,,,
,1,,1,5.0,,,,0 days 00:25:12.388000,,,,
,1,,0,,,,,0 days 00:25:12.670000,0.0,,,
6.0,1,0 days 00:01:31.916000,1,,,,,0 days 00:25:12.670000,1.0,,,
,14,,0,5.0,,,,0 days 00:25:22.381000,,,,
,87,,1,5.0,,,,0 days 00:25:22.381000,,,,
,87,,0,,,,,0 days 00:25:22.865000,0.0,,,
6.0,87,0 days 00:01:32.269000,1,,,,,0 days 00:25:22.865000,1.0,,,
,44,,1,5.0,,,,0 days 00:25:27.381000,,,,
,4,,0,,,,,0 days 00:25:27.381000,1.0,,,
,44,,0,,,,,0 days 00:25:27.381000,0.0,,,
6.0,44,0 days 00:01:31.212000,1,,,,,0 days 00:25:27.381000,3.0,,,
8.0,63,0 days 00:01:31.952000,0,,,,,0 days 00:25:42.970000,,,,
,63,,0,7.0,,,,0 days 00:25:47.392000,,,,
,27,,1,5.0,,,,0 days 00:25:52.392000,,,,
,31,,1,5.0,,,,0 days 00:25:52.392000,,,,
6.0,27,0 days 00:01:32.855000,1,,,,,0 days 00:25:52.470000,,,,
,31,,0,,,,,0 days 00:25:52.470000,0.0,,,
6.0,31,0 days 00:01:32.651000,1,,,,,0 days 00:25:52.470000,1.0,,,
,23,,0,6.0,,,,0 days 00:26:12.387000,,,,
,4,,0,6.0,,,,0 days 00:26:17.403000,,,,
,55,,1,6.0,,,,0 days 00:26:27.388000,,,,
,12,,1,7.0,,,,0 days 00:26:32.388000,,,,
,6,,1,6.0,,,,0 days 00:26:37.388000,,,,
,18,,0,6.0,,,,0 days 00:26:42.388000,,,,
,22,,1,6.0,,,,0 days 00:26:47.397000,,,,
,5,,1,6.0,,,,0 days 00:26:57.391000,,,,
,16,,1,6.0,,,,0 days 00:27:07.391000,,,,
,1,,1,6.0,,,,0 days 00:27:22.396000,,,,
,44,,1,6.0,,,,0 days 00:27:32.388000,,,,
,87,,1,6.0,,,,0 days 00:27:32.388000,,,,
,63,,0,8.0,,,,0 days 00:27:47.399000,,,,
,27,,1,6.0,,,,0 days 00:27:47.399000,,,,
