Time,Driver,Position,GapToLeader,IntervalToPositionAhead
0 days 02:20:23.291000,81,1,LAP 51,LAP 51
0 days 02:21:58.302000,81,1,LAP 52,LAP 52
0 days 02:23:34.128000,81,1,LAP 53,LAP 53
0 days 02:25:09.622000,81,1,LAP 54,LAP 54
0 days 02:26:45.253000,81,1,LAP 55,LAP 55
0 days 02:28:21.249000,81,1,LAP 56,LAP 56
0 days 00:00:03.711000,63,2,,
0 days 00:59:08.880000,63,2,+0.060,+0.060
0 days 00:59:10.383000,63,2,+0.044,+0.044
0 days 00:59:12.905000,63,3,+0.044,+0.044
0 days 00:59:13.122000,63,3,+0.242,+0.037
0 days 00:59:18.158000,63,3,+0.364,+0.134
0 days 00:59:23.849000,63,3,+0.605,+0.212
0 days 00:59:27.837000,63,3,+0.539,+0.232
0 days 00:59:30.823000,63,3,+0.459,+0.187
0 days 00:59:38.137000,63,3,+0.702,+0.161
0 days 00:59:41.830000,63,3,+0.606,+0.067
0 days 00:59:46.037000,63,3,+0.833,+0.129
0 days 00:59:52.118000,63,3,+1.276,+0.391
0 days 00:59:56.812000,63,3,+1.522,+0.542
0 days 01:00:00.817000,63,3,+1.533,+0.547
0 days 01:00:07.083000,63,3,+1.750,+0.672
0 days 01:00:13.289000,63,3,+1.841,+0.742
0 days 01:00:16.663000,63,3,+1.829,+0.726
0 days 01:00:21.438000,63,3,+1.748,+0.663
0 days 01:00:25.238000,63,3,+1.670,+0.612
0 days 01:00:33.739000,63,3,+1.802,+0.764
0 days 01:00:37.828000,63,3,+1.737,+0.720
0 days 01:00:38.758000,63,3,+1.764,+0.732
0 days 01:00:43.384000,63,3,+1.938,+1.014
0 days 01:00:47.937000,63,3,+1.772,+1.059
0 days 01:00:49.102000,63,3,+1.704,+1.071
0 days 01:00:51.434000,63,3,+1.683,+1.025
0 days 01:00:56.512000,63,3,+1.643,+0.928
0 days 01:01:01.838000,63,3,+1.700,+1.029
0 days 01:01:06.098000,63,3,+1.807,+1.104
0 days 01:01:09.088000,63,3,+1.781,+1.090
0 days 01:01:16.265000,63,3,+1.896,+1.070
0 days 01:01:20.084000,63,3,+1.878,+1.083
0 days 01:01:24.156000,63,3,+1.917,+1.068
0 days 01:01:29.879000,63,3,+2.044,+0.996
0 days 01:01:34.681000,63,3,+2.093,+1.026
0 days 01:01:38.710000,63,3,+2.124,+1.059
0 days 01:01:44.878000,63,3,+2.179,+0.900
0 days 01:01:50.139000,63,3,+2.175,+0.944
0 days 01:01:54.555000,63,3,+2.130,+0.923
0 days 01:01:59.319000,63,3,+2.025,+0.838
0 days 01:02:03.016000,63,3,+1.816,+0.650
0 days 01:02:11.339000,63,3,+1.778,+0.565
0 days 01:02:15.420000,63,3,+1.790,+0.583
0 days 01:02:16.412000,63,3,+1.882,+0.659
0 days 01:02:20.884000,63,3,+1.850,+0.764
0 days 01:02:25.134000,63,3,+1.620,+0.607
0 days 01:02:26.281000,63,3,+1.546,+0.553
0 days 01:02:28.700000,63,3,+1.602,+0.543
